

,,Filter Size,Logged,Missed
,,0x28D,146164,4294866241,45109
,,0x307,146301,4294866102,45107
,,0x309,146295,4294866111,45110
,,0x30B,146300,4294866107,45111
,,0x30D,146300,4294866105,45109
,,0x387,146301,4294866102,45107
,,0x389,146301,4294866105,45110
,,0x38B,146301,4294866106,45111
,,0x38D,146301,4294866104,45109
,,0x407,146299,4294866104,45107
,,0x409,146298,4294866108,45110
,,0x40B,146300,4294866107,45111
,,0x40D,146273,4294866132,45109

,,7,1231629,76548
,,0x385,189663,4294822744,45111
,,0x18B,189655,4294822752,45111
,,0x188,189663,4294822744,45111
,,0x18D,189661,4294822744,45109
,,0x18A,189401,4294823006,45111
,,0x189,187437,4294824969,45110
,,0x18C,188858,4294823549,45111
,,0x209,188316,4294824090,45110
,,0x187,163592,4294848811,45107
,,0x18E,188668,4294823739,45111
,,0x207,182171,4294830232,45107
,,0x20B,185117,4294827290,45111
,,0x20D,186149,4294826256,45109
,,0x287,189378,4294823025,45107
,,0x289,189411,4294822995,45110
,,0x28B,189459,4294822948,45111
,,0x28D,189390,4294823015,45109
,,0x307,189659,4294822744,45107
,,0x309,189651,4294822755,45110
,,0x30B,189655,4294822752,45111
,,0x30D,189655,4294822750,45109
,,0x387,189660,4294822743,45107
,,0x389,189658,4294822748,45110
,,0x38B,189660,4294822747,45111
,,0x38D,189655,4294822750,45109
,,0x407,189634,4294822769,45107
,,0x409,189634,4294822772,45110
,,0x40B,189653,4294822754,45111
,,0x40D,189598,4294822807,45109

,,8,1246150,62027
,,0x385,233448,4294778959,45111
,,0x18B,233413,4294778994,45111
,,0x188,233448,4294778959,45111
,,0x18D,233431,4294778974,45109
,,0x18A,233186,4294779221,45111
,,0x189,231221,4294781185,45110
,,0x18C,232642,4294779765,45111
,,0x209,232087,4294780319,45110
,,0x187,206764,4294805639,45107
,,0x18E,232445,4294779962,45111
,,0x207,225067,4294787336,45107
,,0x20B,227342,4294785065,45111
,,0x20D,228618,4294783787,45109
,,0x287,233022,4294779381,45107
,,0x289,233097,4294779309,45110
,,0x28B,233148,4294779259,45111
,,0x28D,233040,4294779365,45109
,,0x307,233436,4294778967,45107
,,0x309,233428,4294778978,45110
,,0x30B,233434,4294778973,45111
,,0x30D,233427,4294778978,45109
,,0x387,233442,4294778961,45107
,,0x389,233441,4294778965,45110
,,0x38B,233444,4294778963,45111
,,0x38D,233435,4294778970,45109
,,0x407,233411,4294778992,45107
,,0x409,233396,4294779010,45110
,,0x40B,233416,4294778991,45111
,,0x40D,233357,4294779048,45109

,,9,1264725,43452
