

,,Filter Size,Logged,Missed
,,0x18B,84468,4294927939,45111
,,0x188,84467,4294927940,45111
,,0x18D,84459,4294927946,45109
,,0x18A,84462,4294927945,45111
,,0x189,84329,4294928077,45110
,,0x18C,84456,4294927951,45111
,,0x209,84444,4294927962,45110
,,0x187,83709,4294928694,45107
,,0x18E,84446,4294927961,45111
,,0x207,84177,4294928226,45107
,,0x20B,84242,4294928165,45111
,,0x20D,84268,4294928137,45109
,,0x287,84458,4294927945,45107
,,0x289,84449,4294927957,45110
,,0x28B,84459,4294927948,45111
,,0x28D,84462,4294927943,45109
,,0x307,84466,4294927937,45107
,,0x309,84466,4294927940,45110
,,0x30B,84466,4294927941,45111
,,0x30D,84466,4294927939,45109
,,0x387,84466,4294927937,45107
,,0x389,84466,4294927940,45110
,,0x38B,84466,4294927941,45111
,,0x38D,84466,4294927939,45109
,,0x407,84466,4294927937,45107
,,0x409,84466,4294927940,45110
,,0x40B,84409,4294927998,45111
,,0x40D,84432,4294927973,45109
,,0x709,53549,4294922765,9018
,,0x70B,53549,4294922765,9018
,,0x707,53476,4294922838,9018
,,0x70D,53428,4294922886,9018

,,0x385,118673,4294893734,45111
,,0x18B,118673,4294893734,45111
,,0x188,118671,4294893736,45111
,,0x18D,118622,4294893783,45109
,,0x18A,118643,4294893764,45111
,,0x189,117767,4294894639,45110
,,0x18C,118595,4294893812,45111
,,0x209,118487,4294893919,45110
,,0x187,114027,4294898376,45107
,,0x18E,118575,4294893832,45111
,,0x207,117207,4294895196,45107
,,0x20B,117876,4294894531,45111
,,0x20D,118051,4294894354,45109
,,0x287,118639,4294893764,45107
,,0x289,118630,4294893776,45110
,,0x28B,118642,4294893765,45111
,,0x28D,118650,4294893755,45109
,,0x307,118671,4294893732,45107
,,0x309,118671,4294893735,45110
,,0x30B,118671,4294893736,45111
,,0x30D,118670,4294893735,45109
,,0x387,118671,4294893732,45107
,,0x389,118671,4294893735,45110
,,0x38B,118671,4294893736,45111
,,0x38D,118671,4294893734,45109
,,0x407,118671,4294893732,45107
,,0x409,118661,4294893745,45110
,,0x40B,118535,4294893872,45111
,,0x40D,118599,4294893806,45109
,,0x709,62567,4294913747,9018
,,0x70B,62567,4294913747,9018
,,0x707,62494,4294913820,9018
,,0x70D,62446,4294913868,9018

,,0x385,160459,4294851948,45111
,,0x18B,160459,4294851948,45111
,,0x188,160453,4294851954,45111
,,0x18D,160286,4294852119,45109
,,0x18A,160289,4294852118,45111
,,0x189,157165,4294855241,45110
,,0x18C,160207,4294852200,45111
,,0x209,159763,4294852643,45110
,,0x187,147142,4294865261,45107
,,0x18E,160154,4294852253,45111
,,0x207,156678,4294855725,45107
,,0x20B,158242,4294854165,45111
,,0x20D,158848,4294853557,45109
,,0x287,160361,4294852042,45107
,,0x289,160377,4294852029,45110
,,0x28B,160366,4294852041,45111
,,0x28D,160384,4294852021,45109
,,0x307,160456,4294851947,45107
,,0x309,160456,4294851950,45110
,,0x30B,160455,4294851952,45111
,,0x30D,160455,4294851950,45109
,,0x387,160456,4294851947,45107
,,0x389,160457,4294851949,45110
,,0x38B,160457,4294851950,45111
,,0x38D,160457,4294851948,45109
,,0x407,160456,4294851947,45107
,,0x409,160440,4294851966,45110
,,0x40B,160266,4294852141,45111
,,0x40D,160360,4294852045,45109
,,0x709,71585,4294904729,9018
,,0x70B,71585,4294904729,9018
,,0x707,71512,4294904802,9018
,,0x70D,71464,4294904850,9018

,,0x385,203973,4294808434,45111
,,0x18B,203966,4294808441,45111
,,0x188,203966,4294808441,45111
,,0x18D,203773,4294808632,45109
,,0x18A,203779,4294808628,45111
,,0x189,199924,4294812482,45110
,,0x18C,203668,4294808739,45111
,,0x209,202872,4294809534,45110
,,0x187,182398,4294830005,45107
,,0x18E,203611,4294808796,45111
,,0x207,198541,4294813862,45107
,,0x20B,200119,4294812288,45111
,,0x20D,201033,4294811372,45109
,,0x287,203736,4294808667,45107
,,0x289,203795,4294808611,45110
,,0x28B,203796,4294808611,45111
,,0x28D,203789,4294808616,45109
,,0x307,203970,4294808433,45107
,,0x309,203967,4294808439,45110
,,0x30B,203967,4294808440,45111
,,0x30D,203967,4294808438,45109
,,0x387,203969,4294808434,45107
,,0x389,203971,4294808435,45110
,,0x38B,203971,4294808436,45111
,,0x38D,203969,4294808436,45109
,,0x407,203963,4294808440,45107
,,0x409,203943,4294808463,45110
,,0x40B,203761,4294808646,45111
,,0x40D,203850,4294808555,45109
,,0x709,80603,4294895711,9018
,,0x70B,80603,4294895711,9018
,,0x707,80530,4294895784,9018
,,0x70D,80482,4294895832,9018

,,0x385,247908,4294764499,45111
,,0x18B,247880,4294764527,45111
,,0x188,247901,4294764506,45111
,,0x18D,247701,4294764704,45109
,,0x18A,247712,4294764695,45111
,,0x189,243780,4294768626,45110
,,0x18C,247596,4294764811,45111
,,0x209,246734,4294765672,45110
,,0x187,221409,4294790994,45107
,,0x18E,247537,4294764870,45111
,,0x207,241358,4294771045,45107
,,0x20B,242584,4294769823,45111
,,0x20D,243615,4294768790,45109
,,0x287,247511,4294764892,45107
,,0x289,247614,4294764792,45110
,,0x28B,247638,4294764769,45111
,,0x28D,247581,4294764824,45109
,,0x307,247903,4294764500,45107
,,0x309,247897,4294764509,45110
,,0x30B,247896,4294764511,45111
,,0x30D,247892,4294764513,45109
,,0x387,247904,4294764499,45107
,,0x389,247906,4294764500,45110
,,0x38B,247905,4294764502,45111
,,0x38D,247901,4294764504,45109
,,0x407,247895,4294764508,45107
,,0x409,247876,4294764530,45110
,,0x40B,247676,4294764731,45111
,,0x40D,247755,4294764650,45109
,,0x709,89621,4294886693,9018
,,0x70B,89621,4294886693,9018
,,0x707,89548,4294886766,9018
