Filter Size,Logged,Missed,
1,60042,1203026,1263068
2,150139,1112929,
3,288233,974835,
4,493141,769927,
5,863586,399482,
6,1055864,207204,
7,1142145,120923,
8,1184200,78868,
9,1209707,53361,
10,1230930,32138,
11,1246582,16486,
12,1255229,7839,
13,1259741,3327,
14,1261754,1314,
15,1262424,644,
16,1262762,306,
17,1262871,197,
18,1262926,142,
19,1262925,143,
20,1262952,116,
21,1262971,97,
22,1262980,88,
23,1263005,63,
24,1263004,64,
25,1263003,65,
26,1263002,66,
27,1263021,47,
28,1263030,38,
