Filter Size,Logged,Missed,
1,59187,662568,721755
2,140436,581319,
3,248841,472914,
4,431375,290380,
5,553174,168581,
6,628811,92944,
7,667514,54241,
8,689385,32370,
9,703128,18627,
10,712295,9460,
11,717269,4486,
12,719780,1975,
13,721126,629,
14,721571,184,
15,721683,72,
16,721697,58,
