Filter Size,Logged,Missed,
1,60354,1022277,1082631
2,148780,933851,
3,269008,813623,
4,536431,546200,
5,773162,309469,
6,917720,164911,
7,983946,98685,
8,1017305,65326,
9,1038448,44183,
10,1055895,26736,
11,1068783,13848,
12,1076050,6581,
13,1079798,2833,
14,1081547,1084,
15,1082145,486,
16,1082411,220,
17,1082504,127,
18,1082503,128,
19,1082526,105,
20,1082542,89,
21,1082574,57,
22,1082571,60,
23,1082570,61,
24,1082569,62,
