Filter Size,Logged,Missed,
1,58690,843502,902192
2,144337,757855,
3,266373,635819,
4,533919,368273,
5,685010,217182,
6,783155,119037,
7,832554,69638,
8,858493,43699,
9,876032,26160,
10,888571,13621,
11,895551,6641,
12,899146,3046,
13,901070,1122,
14,901727,465,
15,902007,185,
16,902085,107,
17,902104,88,
18,902103,89,
19,902138,54,
20,902141,51,
