187,44987
188,43488
189,45055
18A,43479
18B,45068
18C,43481
18D,45080
18E,43480
207,45067
209,45079
20B,45075
20D,45086
287,45066
289,45085
28B,45088
28D,45102
307,45087
309,45105
30B,45101
30D,45095
385,43397
387,45106
389,45103
38B,45110
38D,45109
407,45105
409,45102
40B,45110
40D,45107
707,8952
709,8961
70B,8972
70D,8973
Total,1335261
