

,,Filter Size,Logged,Missed
,,0x385,44143,968,45111
,,0x18B,44352,759,45111
,,0x188,44236,875,45111
,,0x18D,44372,737,45109
,,0x18A,44238,873,45111
,,0x189,44393,717,45110
,,0x18C,44061,1050,45111
,,0x209,44383,727,45110
,,0x187,44243,864,45107
,,0x18E,44071,1040,45111
,,0x207,44202,905,45107
,,0x20B,43442,1669,45111
,,0x20D,43331,1778,45109
,,0x287,44238,869,45107
,,0x289,44216,894,45110
,,0x28B,44082,1029,45111
,,0x28D,43961,1148,45109
,,0x307,44111,996,45107
,,0x309,44165,945,45110
,,0x30B,44269,842,45111
,,0x30D,44265,844,45109
,,0x387,44188,919,45107
,,0x389,44154,956,45110
,,0x38B,44280,831,45111
,,0x38D,44346,763,45109
,,0x407,44344,763,45107
,,0x409,44288,822,45110
,,0x40B,44276,835,45111
,,0x40D,44361,748,45109
,,0x709,9018,0,9018
,,0x70B,9018,0,9018
,,0x707,9018,0,9018
,,0x70D,9018,0,9018

