

,,Filter Size,Logged,Missed
,,0x385,44166,945,45111
,,0x18B,44925,186,45111
,,0x188,44385,726,45111
,,0x18D,44938,171,45109
,,0x18A,44649,462,45111
,,0x189,44935,175,45110
,,0x18C,44003,1108,45111
,,0x209,44929,181,45110
,,0x187,44870,237,45107
,,0x18E,44566,545,45111
,,0x207,44838,269,45107
,,0x20B,44406,705,45111
,,0x20D,44225,884,45109
,,0x287,44835,272,45107
,,0x289,44749,361,45110
,,0x28B,44794,317,45111
,,0x28D,44740,369,45109
,,0x307,44915,192,45107
,,0x309,44819,291,45110
,,0x30B,44752,359,45111
,,0x30D,44804,305,45109
,,0x387,44946,161,45107
,,0x389,44877,233,45110
,,0x38B,44880,231,45111
,,0x38D,44960,149,45109
,,0x407,44951,156,45107
,,0x409,44954,156,45110
,,0x40B,44954,157,45111
,,0x40D,44959,150,45109
,,0x709,9018,0,9018
,,0x70B,9018,0,9018
,,0x707,9018,0,9018
,,0x70D,9018,0,9018

