

,,Filter Size,Logged,Missed
,,1,61818,975700
,,2,161860,875658
,,3,307783,729735
,,4,887535,149983
,,5,986854,50664
,,6,997621,39897
,,7,1028720,8798
,,8,1034018,3500
,,9,1034257,3261
,,10,1033704,3814
,,11,1033285,4233
,,12,1032729,4789
,,13,1032259,5259
,,14,1032107,5411
,,15,1031947,5571
,,16,1031760,5758
,,17,1031451,6067
,,18,1028488,9030
,,19,1026825,10693
,,20,1033882,3636
,,21,1037351,167
,,22,1037518,0
