

,,Filter Size,Logged,Missed
,,1,59797,797282
,,2,156531,700548
,,3,287887,569192
,,4,795956,61123
,,5,850276,6803
,,6,854642,2437
,,7,856465,614
,,8,856173,906
,,9,855376,1703
,,10,855300,1779
,,11,855168,1911
,,12,854920,2159
,,13,854789,2290
,,14,854643,2436
,,15,854174,2905
,,16,851526,5553
,,17,856642,437
,,18,857079,0
