

,,Filter Size,Logged,Missed
,,1,67264,744713
,,2,159712,652265
,,3,269199,542778
,,4,395085,416892
,,5,484451,327526
,,6,686807,125170
,,7,761083,50894
,,8,783843,28134
,,9,794516,17461
,,10,797836,14141
,,11,794114,17863
,,12,783903,28074
,,13,775446,36531
,,14,797336,14641
,,15,808571,3406
,,16,811680,297
,,17,811977,0
