



,,CAN ID,Total,Offset
,,,(logs),(us)
,,0x385,33236,0
,,0x18B,38911,1
,,0x188,38598,2
,,0x18D,37049,3
,,0x18A,41006,4
,,0x189,40380,5
,,0x187,40042,6
,,0x18E,38167,7
,,0x207,38045,8
,,0x18C,37060,9
,,0x20B,40075,10
,,0x20D,39448,11
,,0x287,39843,12
,,0x289,40153,13
,,0x28B,40291,14
,,0x28D,40757,15
,,0x30D,36807,16
,,0x307,38626,17
,,0x387,38817,18
,,0x389,40819,19
,,0x38B,40896,20
,,0x38D,40242,21
,,0x407,38286,22
,,0x409,37638,23
,,0x40B,37911,24
,,0x40D,39259,25
,,0x709,7914,26
,,0x70B,7638,27
,,0x707,7883,28
,,0x209,40486,29
,,0x309,36119,30
,,0x30B,35878,31
,,0x70D,7806,32
