



,,CAN ID,Total,Offset
,,,(logs),(us)
,,0x385,35105,0
,,0x188,37962,1
,,0x18D,37054,2
,,0x18A,40776,3
,,0x18B,39544,4
,,0x189,40229,5
,,0x18C,37413,6
,,0x209,40345,7
,,0x187,40104,8
,,0x18E,38391,9
,,0x20D,39313,10
,,0x287,39579,11
,,0x289,39989,12
,,0x28B,40535,13
,,0x207,38412,14
,,0x28D,40572,15
,,0x307,38820,16
,,0x309,36439,17
,,0x30B,36347,18
,,0x30D,36789,19
,,0x387,38854,20
,,0x38D,40275,21
,,0x389,40338,22
,,0x407,38127,23
,,0x40B,38306,24
,,0x40D,39021,25
,,0x709,8000,26
,,0x70B,7682,27
,,0x707,7884,28
,,0x20B,39746,29
,,0x38B,40756,30
,,0x409,37394,31
,,0x70D,7784,32
,,0x38F,1,33
