

,,Filter Size,Logged,Missed
,,1,120545,1223704
,,2,247382,1096867
,,3,297606,1046643
,,4,312814,1031435
,,5,467306,876943
,,6,689335,654914
,,7,927684,416565
,,8,1168277,175972
,,9,1271412,72837
,,10,1293756,50493
,,11,1309947,34302
,,12,1326997,17252
,,13,1338661,5588
,,14,1342680,1569
,,15,1343758,491
,,16,1343945,304
,,17,1336160,8089
,,18,1335865,8384
,,19,1335718,8531
,,20,1335594,8655
,,21,1335488,8761
,,22,1335404,8845
,,23,1335100,9149
,,24,1334355,9894
,,25,1333381,10868
,,26,1332567,11682
,,27,1330370,13879
,,28,1326522,17727
,,29,1329233,15016
,,30,1341185,3064
,,31,1343420,829
,,32,1344249,0
,,33,1344249,0
