Filter Size,Logged,Missed,
0x18B,44325,786,45111
0x188,43483,1628,45111
0x18D,45000,109,45109
0x18A,43483,1628,45111
0x189,45052,58,45110
0x18C,43483,1628,45111
0x209,45042,68,45110
0x187,45066,41,45107
0x18E,43483,1628,45111
0x207,45066,41,45107
0x20B,45104,7,45111
0x20D,45103,6,45109
0x287,45106,1,45107
0x289,45109,1,45110
0x28B,45041,70,45111
0x28D,44921,188,45109
0x307,45106,1,45107
0x309,45100,10,45110
0x30B,45096,15,45111
0x30D,45092,17,45109
