

,,Filter Size,Logged,Missed
,,1,243270,658922
,,2,472522,429670
,,3,681481,220711
,,4,795802,106390
,,5,850560,51632
,,6,866984,35208
,,7,880783,21409
,,8,888527,13665
,,9,892178,10014
,,10,893863,8329
,,11,894250,7942
,,12,893235,8957
,,13,891789,10403
,,14,890068,12124
,,15,888348,13844
,,16,887808,14384
,,17,892664,9528
,,18,899180,3012
,,19,902192,0
,,20,902192,0
